total,bed,bath,square,lot,price,type,built,garage,address,city,state,zip,elementary school,middle school,high school,Collateral,CoreLogic,Quantarium
"1,350,000",4,2,1800,5250,750,Single Family Home,1947,1 Car,1310 Monte Diablo Ave,San Mateo,CA,94401,7,2,7,$1275000 $975061 $1298926,$1417200 $966000 $1469000,$1427814 $901203 $1252406
"1,218,000",3,2,1240,5250,982,Single Family Home,1954,2 Cars,1625 S Norfolk St,San Mateo,CA,94401,5,9,4,$1132000 $812551 $1082439,$1271300 $881800 $1247400,$1236701 $915484 $1133801
"1,300,000",3,2,1601,5500,812,Single Family Home,1954,2 Cars,1524 Lodi Ave,San Mateo,CA,94401,5,9,4,$1144000 $771391 $1027608,$1288800 $850200 $1229900,$1189076 $1010387 $1177971
"2,698,000",7,4,2839,5850,,Single Family Home,1925,3 Cars,406 Villa Ter,San Mateo,CA,94401,6,3,7,$1640000 $1180860 $1573081,$2646000 $1062800 $1477900,$2746523 $1297263 $1606623
"1,250,000",3,2,1460,5850,856,Single Family Home,1910,,410 Cypress Ave,San Mateo,CA,94401,4,4,7,$1237000 $911193 $1213844,$1263600 $866000 $1124500,$1389988 $959861 $1188761
"1,495,000",3,2,1610,6750,929,Single Family Home,1947,2 Cars,1624 Monte Diablo Ave,San Mateo,CA,94401,7,2,7,$1285000 $940288 $1252604,$1492300 $936000 $1288000,$1288184 $866802 $1280057
"1,650,000",2,1.5,1430,6950,"1,154",Single Family Home,1924,1 Car,726 Prospect Row,San Mateo,CA,94401,6,7,3,$1913000 $1162409 $1548502,$1642100 $1094300 $1685600,$1398264 $1150884 $1425337
"1,598,000",4,3,2528,7903,632,Townhome,2007,1 Car,528 N Claremont St,San Mateo,CA,94401,6,3,7,$1159000 $1955353 $1999439,$1754000 - $2821000,$1723827 $2385090 $2285911
"1,249,000",2,2,1530,18730,816,Condo,2003,1 Car,318 S Grant St Unit 1C,San Mateo,CA,94401,6,7,3,$1350000 $898419 $1196827,,$1070812 $672420 $832773
"1,350,000",2,2,1731,,780,Condo,1983,2 Cars,10 9th Ave Apt 301,San Mateo,CA,94401,9,6,3,$1334000 $940998 $1253549,,$1328651 $1080884 $981978
"1,198,000",2,1,970,4000,"1,235",Single Family Home,1940,1 Car,842 W Grant Pl,San Mateo,CA,94402,9,6,3,$1134000 $884428 $1082861,$1320400 $984300 $1413500,$1376590 $1264501 $1399984
"1,898,000",3,1.5,1690,5000,"1,123",Single Family Home,1934,2 Cars,1724 Palm Ave,San Mateo,CA,94402,9,3,6,$1848000 $1314404 $1609307,$1791400 $1250300 $1728700,$1607198 $1325432 $1643498
"1,642,000",3,2,1200,5035,"1,368",Single Family Home,1955,2 Cars,1730 Eleanor Dr,San Mateo,CA,94402,9,6,3,$1508000 $1188756 $1455468,$1647000 $1000900 $1571500,$1647856 $1021579 $1494772
"1,380,000",3,2,1210,5280,"1,140",Single Family Home,1940,1 Car,850 W Grant Pl,San Mateo,CA,94402,9,6,3,$1001000 $805287 $985962,$1143900 $1077700 $1405200,$1451823 $1067861 $1359466
"1,650,000",2,2.5,1400,5850,"1,179",Single Family Home,1926,2 Cars,1302 S B St,San Mateo,CA,94402,9,6,3,$1540000 $1259739 $1542377,$1670400 $1229900 $1662200,$1652385 $1373411 $1810486
"1,749,000",4,,2808,5850,623,Multi-Family Home,1951,2 Cars,163 171 16th Ave,San Mateo,CA,94402,9,6,3,$1654000 $1602414 $1961936,$1932700 $1229500 $1974600,$1879183 $1640349 $1816102
"2,150,000",5,2.5,2970,6148,724,Single Family Home,1925,2 Cars,769 Crescent Ave,San Mateo,CA,94402,6,7,3,$3013000 $2433810 $2979864,$2987900 $2104000 $3136600,$2067944 $2471283 $2736066
"1,690,000",3,2,1440,6440,"1,174",Single Family Home,1952,2 Cars,617 Hobart Ave,San Mateo,CA,94402,6,6,9,$1955000 $1491453 $1826078,$1794300 $1411700 $1866200,$1714987 $1432185 $1493229
"2,048,000",3,2,2020,6500,"1,014",Single Family Home,1949,2 Cars,802 Barneson Ave,San Mateo,CA,94402,6,6,9,$2190000 $1548565 $1896005,$2395100 $1774400 $2391000,$2244687 $1873250 $2097058
"2,298,000",4,2.5,2620,6750,877,Single Family Home,1963,2 Cars,47 Treetop Ln,San Mateo,CA,94402,6,9,6,$2457000 $2039733 $2497372,$2456500 $2402300 $2843200,$2436979 $2430959 $2516900
"1,980,000",4,2,2030,8066,975,Single Family Home,1956,2 Cars,1752 Lexington Ave,San Mateo,CA,94402,6,9,5,$1974000 $1643209 $2011883,$2100700 $1640600 $2096000,$1901913 $1663721 $1841978
"2,500,000",4,2,1730,8568,"1,445",Single Family Home,1956,2 Cars,1591 Lexington Ave,San Mateo,CA,94402,6,9,5,$1866000 $1528168 $1871031,$2455400 $1628400 $2005500,$2523996 $1643163 $1884582
"2,448,000",4,3.5,2360,8775,"1,037",Single Family Home,1971,3 Cars,1709 Los Altos Dr,San Mateo,CA,94402,6,9,5,$2104000 $1694610 $2074817,$2461400 $1868200 $2355700,$2498964 $1786313 $1977705
"1,998,000",3,2,2200,8900,908,Single Family Home,1953,2 Cars,1351 Bel Aire Rd,San Mateo,CA,94402,6,9,5,$2045000 $1630155 $1995900,$2120400 $1714200 $2350100,$2039596 $1835210 $1945663
"3,995,000",4,4.5,2640,9300,"1,513",Single Family Home,1947,2 Cars,237 W Poplar Ave,San Mateo,CA,94402,6,7,3,$2576000 $1861053 $2278602,$3960300 $2255000 $3051600,$4078172 $2695094 $2983856
"4,095,000",3,3.5,3243,10454,"1,263",Single Family Home,1924,2 Cars,420 Dorchester Rd,San Mateo,CA,94402,6,7,3,$3402000 $2780564 $3404418,$3928900 $2856400 $3921900,$3878601 $3461292 $3727504
"2,498,000",4,3,2370,10454,"1,054",Single Family Home,1973,2 Cars,669 Barneson Ave,San Mateo,CA,94402,6,6,9,$2488000 $1648104 $2017877,$2589700 $2174200 $2676700,$2543465 $2431394 $2679376
"2,575,000",4,2,2170,10454,"1,187",Single Family Home,1927,2 Cars,750 Edgewood Rd,San Mateo,CA,94402,6,7,3,$2822000 $2564353 $3139696,$2616200 $2340700 $3107300,$2628608 $2755927 $3051207
"2,999,999",4,3,2640,14374,"1,136",Single Family Home,1979,2 Cars,1439 Rainbow Dr,San Mateo,CA,94402,6,9,5,$2062000 $1644025 $2012882,$2564700 $1822700 $2640400,$2491643 $1818741 $2013608
"1,895,000",4,2,1480,20037,"1,280",Single Family Home,1956,1 Car,2159 Queens Ln,San Mateo,CA,94402,6,9,5,$1744000 $1362542 $1668245,$2102800 $1557700 $2064100,$1615597 $1614080 $1554329
"1,300,000",2,2,1110,4016,"1,171",Single Family Home,1953,1 Car,109 Otay Ave,San Mateo,CA,94403,8,4,7,$1474000 $1129665 $1443574,$1420200 $1022900 $1477000,$1336225 $1085031 $1224671
"1,430,000",3,2,1237,4960,"1,156",Single Family Home,1951,1 Car,252 E 40th Ave,San Mateo,CA,94403,8,9,8,$1369000 $949075 $1212802,$1434100 $941800 $1436000,$1449219 $968033 $1163313
"1,488,000",3,4,1480,5000,"1,005",Single Family Home,1948,,461 26th Ave,San Mateo,CA,94403,4,8,5,$1334000 $1022562 $1306709,$1449000 $1245100 $1671100,$1518933 $1374429 $1430274
"1,698,000",3,2.5,1740,5000,976,Single Family Home,1948,1 Car,3517 Casanova Dr,San Mateo,CA,94403,8,4,7,$1673000 $1301656 $1663357,$1894100 $1164800 $1925700,$1739869 $1566164 $1770397
"1,750,000",4,2,2250,5000,778,Single Family Home,1950,1 Car,3956 Casanova Dr,San Mateo,CA,94403,8,4,7,$1844000 $1316509 $1682338,$1771200 $1293700 $1865000,$1795751 $1391997 $1725945
"1,598,000",3,2,1540,5000,"1,038",Single Family Home,1950,1 Car,3960 Branson Dr,San Mateo,CA,94403,8,4,7,$1685000 $1257876 $1607412,$1721500 $1019100 $1730700,$1662053 $1136007 $1541191
"1,198,000",2,1,890,5000,"1,346",Single Family Home,1940,1 Car,2711 Garfield St,San Mateo,CA,94403,4,8,5,$1107000 $1046797 $1337678,$1276500 $931700 $1314800,$1260674 $1036075 $1095700
"1,958,000",4,2.5,1810,5050,"1,082",Single Family Home,1936,1 Car,258 Delmar Way,San Mateo,CA,94403,4,8,5,$2067000 $1473646 $1883140,$1899800 $1500100 $1976200,$1791500 $1609787 $1915804
"2,485,000",3,3,2290,5060,"1,085",Single Family Home,1956,2 Cars,215 41st Ave,San Mateo,CA,94403,8,4,4,$1787000 $1430649 $1828194,$2430200 $1672900 $1913000,$1946578 $1677358 $2011336
"1,658,000",3,2,1460,5200,"1,136",Single Family Home,1945,2 Cars,3028 Lansdale St,San Mateo,CA,94403,5,4,8,$1595000 $1313382 $1678342,$1669700 $1192800 $1665200,$1692468 $1393871 $1408971
"1,118,000",3,2,1060,5200,"1,055",Single Family Home,1956,2 Cars,2359 S Norfolk St,San Mateo,CA,94403,5,8,4,$1145000 $855262 $1092920,$1128800 $841700 $1164900,$1141241 $876710 $1114351
"1,499,888",3,2,1428,5270,"1,050",Single Family Home,1946,1 Car,159 W 38th Ave,San Mateo,CA,94403,8,4,4,$1621000 $1237550 $1581438,$1722900 $1024800 $1674000,$1693869 $1106839 $1655039
"1,549,000",3,1,1210,5550,"1,280",Single Family Home,1942,1 Car,507 Sylvan Ave,San Mateo,CA,94403,5,4,8,$1659000 $1301656 $1663357,$1693800 $1127400 $1688800,$1580338 $1265683 $1430984
"1,695,000",4,2,1860,5720,978,Single Family Home,1941,2 Cars,140 31st Ave,San Mateo,CA,94403,8,4,4,$2097000 $1710524 $2185840,$1977300 $1699800 $1874400,$1978289 $1562961 $1766777
"1,475,000",3,2,2030,6000,727,Single Family Home,1952,2 Cars,500 Madera Dr,San Mateo,CA,94403,4,9,5,$1778000 $1456447 $1861161,$1702500 $1457600 $1806500,$1596410 $1515583 $1608311
"1,995,000",4,3.5,2480,6324,804,Single Family Home,1922,1 Car,750 28th Ave,San Mateo,CA,94403,4,8,5,$2355000 $1902841 $2431598,$2027800 $1668000 $2251400,$2036473 $1923016 $2042775
"2,250,000",3,2.5,1990,6496,"1,131",Single Family Home,1972,2 Cars,717 29th Ave,San Mateo,CA,94403,4,5,8,$1697000 $1432994 $1831191,$1968700 $1435800 $2041200,$1778345 $1673194 $1599501
"1,599,000",3,2,1789,6500,894,Single Family Home,1960,2 Cars,1920 Playa St,San Mateo,CA,94403,1,8,4,$1417000 $1108557 $1416600,$1616800 $1063200 $1348700,$1632242 $1233076 $1393874
"1,374,000",2,,1801,6535,763,Multi-Family Home,1939,1 Car,120 23rd Ave,San Mateo,CA,94403,9,4,5,$1839000 $1404068 $1794227,$1862100 $1319700 $1904600,$1721229 $1761474 $1991176
"1,390,000",3,1.5,1120,6600,"1,241",Single Family Home,1945,1 Car,81 41st Ave,San Mateo,CA,94403,8,4,4,$1352000 $1311389 $1272743,$1354800 $1212500 $1302500,$1258305 $1299327 $1169612
"1,498,000",3,1.5,1300,6612,"1,152",Single Family Home,1951,2 Cars,235 W 39th Ave,San Mateo,CA,94403,8,4,4,$1388000 $1128102 $1441576,$1572500 $1181200 $1550200,$1439467 $1239004 $1383569
"1,050,000",4,3,1540,6762,682,Single Family Home,1954,2 Cars,1783 Adams St,San Mateo,CA,94403,5,9,4,$1385000 $1099958 $1405611,$1283800 $908400 $1432300,$1428769 $1079459 $1482139
"1,588,000",3,2,1520,6900,"1,045",Single Family Home,1948,2 Cars,402 Stephen Rd,San Mateo,CA,94403,8,4,4,$1830000 $1331363 $1701319,$1616900 $1321400 $1655600,$1726901 $1358431 $1380718
"1,749,000",4,2,1900,7021,921,Single Family Home,1952,2 Cars,3916 Fernwood St,San Mateo,CA,94403,8,4,4,$1962000 $1568241 $2004020,$1761400 $1344900 $1607000,$1785360 $1406499 $1589911
"1,450,000",2,2,1700,7448,853,Single Family Home,1984,2 Cars,1652 Toyon Ct,San Mateo,CA,94403,8,9,9,$1520000 $1149210 $1468549,$1495100 $1256500 $1634800,$1522717 $1315042 $1486528
"1,930,000",3,3,1930,7749,"1,000",Single Family Home,1950,2 Cars,131 28th Ave,San Mateo,CA,94403,4,8,5,$1848000 $1557296 $1990034,$1951500 $1443200 $1956000,$1907656 $1559047 $1762352
"1,500,000",2,2.5,1560,8247,962,Townhome,2016,2 Cars,419 Neves Rd,San Mateo,CA,94403,8,4,7,$1490000 $1184389 $1513505,,$1588131 $1343343 $1518519
"1,798,000",4,2,2032,9240,885,Single Family Home,1948,1 Car,200 Poinsettia Ave,San Mateo,CA,94403,8,4,7,$1792000 $1485373 $1898125,$1860800 $1372500 $1961000,$1991382 $1780762 $2012979
"2,399,000",5,3.5,3320,10018,723,Single Family Home,1955,2 Cars,621 Alta Ave,San Mateo,CA,94403,9,4,5,$2437000 $1853589 $2368660,$2932200 $2138500 $3038800,$2473066 $2353106 $2659959
"1,499,000",3,3,1610,11325,931,Townhome,2013,2 Cars,2876 Saratoga Dr,San Mateo,CA,94403,8,4,7,$1523000 $1187516 $1517501,$1648500 $1064200 $1513200,$1576606 $1028254 $1565787
"2,295,000",4,3,2280,14810,"1,007",Single Family Home,1958,2 Cars,3916 Kingridge Dr,San Mateo,CA,94403,4,8,4,$2158000 $1882515 $2405623,$2228000 $1765100 $2305400,$2076600 $1676898 $2059317
"2,150,000",4,2.5,2220,14810,968,Single Family Home,1975,2 Cars,1442 Cedarwood Dr,San Mateo,CA,94403,5,4,8,$2099000 $1650327 $2108916,$2273900 $1786300 $2720900,$2094208 $1742570 $2233987
"1,877,000",3,2.5,1860,22651,"1,009",Single Family Home,1961,2 Cars,652 Newlands Ave,San Mateo,CA,94403,8,9,9,$1778000 $1390778 $1777244,$1896700 $1421600 $2020700,$1916020 $1971720 $2228839
"1,299,000",2,2.5,1540,31798,844,Townhome,2003,2 Cars,1311 Wayne Way,San Mateo,CA,94403,8,4,7,$1036000 $942821 $1204810,$1412400 $835200 $1350400,$1227976 $1092379 $1234829
"1,399,000",3,3,1350,,"1,036",Condo,2014,2 Cars,418 Chapman Ln,San Mateo,CA,94403,8,4,7,$1354000 $1097612 $1402614,,$1450785 $988546 $1384789
"675,000",2,1,1000,,675,Condo,1961,,1561 Marina Ct Unit B,San Mateo,CA,94403,5,8,4,$823000 $639492 $817193,$834300 $573400 $832700,$705173 $613145 $693102
"1,590,000",3,2.5,1800,2550,883,Single Family Home,1966,2 Cars,694 Port Dr,San Mateo,CA,94404,5,9,2,$1617000 $1280564 $1560722,$1610000 $1293300 $1704100,$1606743 $1330531 $1552459
"1,695,000",3,2.5,1690,3224,"1,003",Single Family Home,1974,2 Cars,1253 Shoal Dr,San Mateo,CA,94404,5,9,2,$1451000 $1113154 $1356687,$1692600 $1065000 $1413900,$1486394 $1144644 $1511910
"1,278,000",2,2.5,1555,83635,822,Townhome,1979,1 Car,1135 Shoreline Dr,San Mateo,CA,94404,5,9,2,$1234000 $995729 $1213572,$1367900 $966900 $1369300,$1243184 $1049720 $1181366
"1,180,000",2,2,1230,,959,Condo,1979,1 Car,816 Wharfside Rd,San Mateo,CA,94404,5,9,2,$1086000 $829113 $1010504,$1180600 $832100 $1171900,$1026091 $807014 $1025471
"1,039,000",2,2,1165,,892,Condo,1979,1 Car,914 Shoreline Dr,San Mateo,CA,94404,5,9,2,$1084000 $842601 $1026943,$1075000 $858900 $1099500,$1025693 $829922 $994192
"950,000",2,2,1070,,888,Condo,1984,1 Car,1756 Vista Del Sol,San Mateo,CA,94404,5,8,4,$931000 $722796 $880928,$1011800 $743200 $1010300,$953047 $742548 $958270
"988,000",1,1.5,1150,,859,Condo,1979,1 Car,1148 Shoreline Dr,San Mateo,CA,94404,5,9,2,$961000 $768021 $936046,$1000900 $805200 $1026500,$1009094 $741848 $910503
"409,888",2,1,1015,,404,Condo,1980,2 Cars,357 Willow Ave Unit 1,Hayward,CA,94541,4,Not rated,2,$449300 $274600 $450500,$446978 $309562 $443224,
"549,950",2,2.5,1542,963,357,Townhome,1972,2 Cars,2028 Oak Creek Pl,Hayward,CA,94541,Not rated,4,4,$585000 $398020 $538112,$637700 $453500 $622700,$618740 $413538 $570210
"699,000",4,2.5,1918,1454,364,Townhome,2010,2 Cars,1042 Old Oak Ln,Hayward,CA,94541,4,Not rated,5,$712000 $541144 $731611,$761900 $615700 $795500,$698039 $603910 $749677
"699,900",4,2.5,1515,1503,462,Single Family Home,2012,2 Cars,1111 Red Wing Dr,Hayward,CA,94541,4,Not rated,5,$772000 $507749 $686461,$709900 $538400 $742700,$717393 $548161 $725540
"625,000",2,2.5,1640,1526,381,Townhome,1979,2 Cars,1839 Sally Creek Cir,Hayward,CA,94541,Not rated,4,4,$611000 $417104 $563912,$653000 $503800 $667700,$598961 $445133 $623121
"605,000",3,2.5,1421,1896,426,Townhome,1973,1 Car,25083 Oakridge Ct,Hayward,CA,94541,Not rated,4,4,$583000 $381663 $515998,$633900 $478300 $653500,$613206 $407634 $569393
"539,000",2,1,762,4850,707,Single Family Home,1927,2 Cars,160 Medford Ave,Hayward,CA,94541,2,4,2,$541000 $362580 $490198,$561900 $334300 $496300,$579979 $368074 $533575
"650,000",3,1,1162,4980,559,Single Family Home,1952,2 Cars,22570 Thelma St,Hayward,CA,94541,5,Not rated,2,$661000 $444365 $600769,,$646700 $477605 $621409
"689,000",3,1,1041,5035,662,Single Family Home,1950,,240 Elmwood Ln,Hayward,CA,94541,4,Not rated,5,$590000 $379619 $513233,$627800 $378800 $599800,$619364 $398769 $563080
"699,900",4,2,1444,5440,485,Single Family Home,1951,2 Cars,139 Florence St,Hayward,CA,94541,4,2,3,$702000 $443002 $598926,$757200 $460500 $740300,$717478 $460234 $663213
"499,999",2,1,984,5712,508,Single Family Home,1918,,1114 Oakview Ave,Hayward,CA,94541,4,Not rated,2,$544000 $373485 $504941,$571100 $389100 $554900,$588129 $348586 $453543
"749,950",3,2,1153,5750,650,Single Family Home,1955,2 Cars,2950 Hardeman St,Hayward,CA,94541,Not rated,4,4,$728000 $495481 $669876,$743100 $519300 $677500,$766117 $526581 $664892
"759,900",3,2,1211,5814,627,Single Family Home,1956,2 Cars,1839 Trym St,Hayward,CA,94541,Not rated,4,4,$784000 $481850 $651447,$734800 $512700 $709400,$758904 $562693 $732116
"679,000",3,2,1528,5994,444,Single Family Home,1942,1 Car,21390 Western Blvd,Hayward,CA,94541,4,Not rated,2,$703000 $471627 $637626,$722300 $413300 $716100,$706178 $439198 $636204
"749,000",3,2,1410,6030,531,Single Family Home,1951,2 Cars,24139 Zorro Ct,Hayward,CA,94541,Not rated,4,4,$777000 $498207 $673561,$767600 $444800 $734600,$747545 $540277 $681423
"524,800",3,1,1272,6030,413,Single Family Home,1951,1 Car,24123 Zorro Ct,Hayward,CA,94541,Not rated,4,4,$615000 $404836 $547326,$610000 $463500 $631200,$622026 $541600 $638022
"920,000",3,2.5,1913,6186,481,Single Family Home,1983,,2921 Ralston Way,Hayward,CA,94541,Not rated,4,4,$836000 $567724 $767547,$963300 $644200 $824400,$865697 $628580 $768938
"789,000",4,3.5,1982,6671,398,Condo,2014,2 Cars,2351 Gibbons St,Hayward,CA,94541,4,5,Not rated,$752000 $550004 $743589,$822400 $652400 $839900,$792600 $691964 $790245
"999,000",6,4,1739,7200,574,Multi-Family Home,1926,2 Cars,22736 4th St,Hayward,CA,94541,4,Not rated,4,$569000 $316235 $427541,,$611913 $472819 $615182
"649,950",4,2,2500,7500,260,Single Family Home,1942,1 Car,21590 Princeton St,Hayward,CA,94541,4,Not rated,2,$618000 $453225 $612747,$739900  -  $514800,$664012 $495194 $644293
"785,000",5,3,2700,7786,291,Single Family Home,1954,2 Cars,3318 Costa Dr,Hayward,CA,94541,Not rated,4,4,$668000 $437550 $591554,$813400 $567800 $770100,$820223 $513760 $668450
"650,000",3,2,1236,9152,526,Single Family Home,1943,,22291 Victory Dr,Hayward,CA,94541,5,Not rated,2,$620000 $408925 $552855,$645200 $480300 $645500,$639906 $488022 $654293
"875,950",4,2,1928,9375,454,Single Family Home,1951,2 Cars,2007 E St,Hayward,CA,94541,Not rated,4,4,$835000 $530921 $717790,$790800 $624400 $775100,$792471 $609412 $740242
"899,950",3,3.5,2250,20908,400,Single Family Home,1953,2 Cars,2421 East Ave,Hayward,CA,94541,Not rated,4,4,$874000 $680179 $919582,$932300 $756500 $1029500,$911087 $790091 $1027983
"1,499,999",4,3.5,3989,43560,376,Single Family Home,1966,3 Cars,25524 Dario Ter,Hayward,CA,94541,Not rated,4,4,$1126000 $708804 $958281,$1502900 $1333300 $1551400,$1530781 $951896 $1238506
"799,995",4,4,1716,,466,Townhome,2017,2 Cars,22797 Filbert St,Hayward,CA,94541,4,Not rated,5,$771000 $568406 $768468,,$773903 $584273 $728331
"699,000",3,3,1651,,423,Townhome,2011,2 Cars,117 Burbank St,Hayward,CA,94541,4,Not rated,5,$683000 $509793 $689225,$725000 $554000 $767700,$698935 $566550 $725474
"635,000",2,2.5,1488,2200,427,Townhome,1983,2 Cars,3251 Guillermo Pl,Hayward,CA,94542,Not rated,4,5,$507000 $601153 $712737,,$615902 $424172 $568601
"1,299,000",4,4,3220,6751,403,Single Family Home,2013,2 Cars,72 Benmore Dr,Hayward,CA,94542,7,8,8,$1348000 $1051285 $1246420,$1461700 $1223900 $1439900,$1395058 $1084012 $1204354
"998,000",4,3,2552,8222,391,Single Family Home,1974,3 Cars,28033 High Country Dr,Hayward,CA,94542,Not rated,4,5,$899000 $691326 $819647,$999500 $703300 $963700,$964467 $793944 $911209
"1,199,888",3,2.5,2372,10018,506,Single Family Home,1967,2 Cars,3715 Oakes Dr,Hayward,CA,94542,Not rated,4,5,$1076000 $736046 $872668,$1056700 $783500 $950600,$1051608 $715448 $1060309
"1,048,000",3,2.5,1928,12632,544,Single Family Home,1972,2 Cars,3460 Pinewood Dr,Hayward,CA,94542,Not rated,4,5,$827000 $644407 $764019,$930300 $690800 $938900,$998355 $683391 $860420
"719,000",2,1.5,890,30491,808,Single Family Home,1939,2 Cars,27110 Parkside Dr,Hayward,CA,94542,Not rated,4,5,$646000 $480923 $570189,$707200 $500600 $681600,$693411 $581942 $698131
"2,299,800",4,3,3196,80150,720,Single Family Home,1978,3 Cars,26974 Halifax Pl,Hayward,CA,94542,Not rated,4,5,$2375000 $911993 $1081274,$2293200 $883600 $1040200,$2460056 $770977 $924908
"225,000",2,2,1620,,139,Mfd/Mobile Home,1980,2 Cars,29222 Whalebone Way,Hayward,CA,94544,Not rated,5,4,$214000 $145159 $195410,,
"629,999",3,2.5,1670,267022,377,Townhome,1991,1 Car,24693 Diamond Ridge Dr Unit 24693,Hayward,CA,94544,5,Not rated,3,$593000 $598000,$638200 $638200 $668200,$664127 $664127 $640953
"570,000",3,2.5,1519,2664,375,Townhome,1973,2 Cars,272 Rosewood Ct,Hayward,CA,94544,2,2,Not rated,$581000 $385961 $519571,$634500 $478800 $636700,$590207 $406961 $533521
"570,000",3,2.5,1519,2664,375,Townhome,1973,2 Cars,272 Rosewood Ct,Hayward,CA,94544,2,2,Not rated,$581000 $385961 $519571,$634500 $478800 $636700,$590207 $406961 $533521
"599,000",2,1,919,3302,652,Single Family Home,1958,1 Car,27769 E 12th St,Hayward,CA,94544,2,Not rated,2,$570000 $394100 $530529,$593300 $421200 $573300,$561449 $443508 $581244
"659,000",4,2,1407,5000,468,Single Family Home,1950,1 Car,24675 Joanne St,Hayward,CA,94544,4,2,Not rated,$619000 $423946 $570707,$684100 $485600 $698400,$691567 $499707 $655109
"815,000",3,2,1560,5000,485,Single Family Home,1956,2 Cars,543 Ellery Pl,Hayward,CA,94544,4,8,4,$731000 $473463 $637365,$741900 $528500 $735400,$722058 $540110 $680719
"649,000",3,2,1260,5000,515,Single Family Home,1956,1 Car,28041 Tampa Ave,Hayward,CA,94544,2,Not rated,4,$617000 $434799 $585317,$634800 $472700 $657500,$662516 $436114 $636389
"649,999",3,2,1000,5000,650,Single Family Home,1954,1 Car,27671 Pompano Ave,Hayward,CA,94544,2,Not rated,4,$647000 $419876 $565228,$646700 $400800 $638800,$663536 $469337 $615295
"619,000",3,2,1000,5000,619,Single Family Home,1954,1 Car,27746 Tampa Ave,Hayward,CA,94544,2,Not rated,4,$659000 $421233 $567054,$633500 $418400 $566700,$658116 $436095 $571715
"765,000",3,2,1164,5001,657,Single Family Home,1955,2 Cars,32283 Amelia Ave,Hayward,CA,94544,4,8,4,$733000 $474820 $639191,$715300 $519000 $788600,$730912 $530748 $687650
"749,000",3,2,1742,5005,430,Single Family Home,1954,2 Cars,179 Turlock Way,Hayward,CA,94544,Not rated,2,2,$710000 $490421 $660193,$766200 $577400 $791200,$749674 $529613 $718698
"799,000",4,2,1879,5035,425,Single Family Home,1952,1 Car,25973 Regal Ave,Hayward,CA,94544,2,Not rated,5,$732000 $491778 $662020,$792100 $495800 $539200,$814197 $424259 $556198
"559,000",3,1,960,5040,582,Single Family Home,1952,1 Car,24928 Joyce St,Hayward,CA,94544,4,Not rated,2,$551000 $386639 $520484,$629800 $454500 $633700,$626250 $453063 $561349
"799,888",3,2.5,1320,5300,606,Single Family Home,1955,2 Cars,548 Minerva St,Hayward,CA,94544,2,4,Not rated,$760000 $438191 $589882,$794100 $495800 $769100,$784525 $473775 $634232
"688,000",3,2,1210,5415,569,Single Family Home,1956,2 Cars,1147 Gomer St,Hayward,CA,94544,2,Not rated,5,$602000 $439547 $591709,$688100 $436400 $594800,$702328 $479074 $652038
